"category","question","answer"
"General","What was the name of Mother Goose's son?","Jack"
"General","What does the "lithosphere" refer to?","The earth's crust"
"General","This is required to make all electric things work?","electricity"
"General","Although not all come from France, ······ fries are often served with hamburgers.","french"
"General","Name the fastest mouse in all of Mexico","Speedy Gonzalez"
"General","Who invented the compact disc or CD?","Philips"
"General","How was William Pitt the Elder's son known ?","William Pitt the Younger"
"General","What are a cheesboard's vertical rows called?","Files"
"General","What is the chemical symbol for einsteinium?","Es"
"General","In a Spanish bar, what are topaz?","snacks"
"General","A water heater keeps ····· warm for you.","water"
"General","The world's longest tunnel connects New York and ······?","Delaware"
"General","What did Sally Rogers always wear in her hair?","a bow"
"General","Who did Zola Budd trip in the 1984 Los Angeles Olympics?","Mary Decker"
"General","What was invented by Ludovic Zamenhof ?","Esperanto"
"General","Football: The Chicago ······?","Bears"
"General","Tinky winky, Dipsy LaLa and Po are know as what?","The Teletubbies"
"General","What is Bill Clinton's name according to his birth certificate?","William Clinton"
"General","This animal is normally measured in "hands".","Horse"
"General","Name the heaviest breed of domestic dog.","St. Bernard"
"General","s 1960s nickname for Jack Kirby","The King"
"General","This movie is about the migration of poor workers from the dust bowl to the Californian fruit valleys.","The Grapes of Wrath"
"General","What was the name of Plato's school?","The Academy"
"General","What is the sacred river of Hinduism?","Ganges"
"General","Basketball: The Los Angeles _________.","Lakers"
"General","To what country does the Gaza Strip belong?","Egypt"
"General","What was Margaret Thatcher's nickname?","Iron Lady"
"General","A group of kangaroos is known as a _______.","Troop"
"General","What is the capital of Alaska?","Juneau"
"General","What is the national symbol for India?","lotus flower"
"General","A hot spring which shoots steam into the air is a _______.","Geyser"
"General","According to the Bible, who were the brothers of Jesus?","James and John"
"General","These are the two highest valued letters in "Scrabble".  "Q" and ·····.","Z"
"General","one version of the gif graphics file format supports animation. what is the specific name of that format","gif 89a"
"General","What university was founded in 1160??","Oxford University"
"General","Myositis affects the ·········.","muscles"
"General","Famous Phrases: Who knows? The ······.","Shadow"
"General","What term is given to the center of a black hole?","singularity"
"General","What is the front of a saddle called?","Pommel"
"General","What was Jack Nicklaus' nickname?","Golden Bear"
"General","What country calls themselves Cymru?","Wales"
"General","If body temperature was 86 degrees, how many years would a man man live?","two hundred"
"General","Biology: In Linnaean classifcation, the group which comes directly under Kingdom.","Phylum"
"General","Who wrote 'Sexual Behavior In The Human Male' in 1948?","Alfred Kinsey"
"General","What is the only place on earth that does not have a time zone?","Antarctica"
"General","(Jane Fonda) Working in Hollywood gives you some experience in playing a ... ?","whore"
"General","In what body part does an osteopath specialise?","bones"
"General","Which breed of dog has a name derived from the old name for Greece ?","Greyhound"
"General","This 1974 film started a run of nostalgia culminating in the TV series "Happy Days".","American Graffiti"
"General","Sodium barcarbonate is better known as ________.","Baking soda"
"General","Cocci, Spirilla, and Streptococci are types of ________.","Bacteria"
"General","What instrument measures walking distance?","pedometer"
"General","Superman: character of Marvel, Image, or DC","DC"
"General","In which state is the Painted Desert?","Arizona"
"General","Growing plants in liquids rather than soil is known as ________.","Hydroponics"
"General","The study of the earth's physical divisions into mountains, seas, etc. is ________.","Geography"
"General","What river is Liverpool on?","The Mersey"
"General","For what is the chemical formula H2O2?","hydrogen peroxide"
"General","Who painted the Mona Lisa?","Leonardo da Vinci"
"General","what is radio shack's main brand name","realistic"
"General","What body of water borders Saudi Arabia to the east?","The Persian Gulf"
"General","Ailurophobia is the fear of?","cats"
"General","Football: The Buffalo ·······.","Bills"
"General","what nfl team is also known as 'america's team'","dallas cowboys"
"General","What 'S' are the translations shown on the screen during a film of a different language?","subtitles"
"General","What is the animal product used in the making of the Italian dessert 'cassata'?","egg white"
"General","What is Tina Turner's real name?","Annie Mae Bullock"
"General","In the TV series 'Seinfeld', who does Michael Richards play?","Kramer"
"General","How many US states border an ocean?","Twenty three"
"General","What was the American Pie in Don Macleans song?","Buddy Holly's Crashed Airplane"
"General","This is the only mammal with four knees.","The elephant"
"General","The term ... is ambiguous. It refers to a type of moral theory, as well as to a type of legal theory, despite the fact that the core claims of the two kinds of theory are logically independent.","natural law"
"General","How many seconds are in a day ?","86400"
"General","In which game might a person have a "full house"?","Poker"
"General","What does 'shogun' mean in English?","military governor"
"General","-isms: A diseased condition resulting from the use of beverages such as whiskey.","Alcoholism"
"General","A flat, round hat sometimes worn by soldiers is a _________.","Beret"
"General","Can Spider-man defeat Super-Man?","Of Course with kryptonite webbing super-man would die even without"
"General","An anemometer measures _________.","Wind velocity"
"General","What Asian city was once called Edo?","Tokyo"
"General","Most people wear a watch on their ···· wrist.","left"
"General","What country owns the island of Corfu?","Greece"
"General","how many days where there in 1976","366"
"General","As what is the North Star also known?","Polaris"
"General","His films include: Spartacus, The Vikings, and Ulysses.","Kirk Douglas"
"General","What is Super Chicken's partners name?","Fred"
"General","Where were the 1956 Olympics held ?","Melbourne, Australia"
"General","He was the worlds most prolific inventor in the 1970's and 1980's with inventions such as Calculators, Digital Watch, Home Computer and Pocket Televisions?","Sir Clive Sinclair"
"General","What is the holy cup of Christ called?","Holy Grail"
"General","What is the Taj Majal made of?","marble"
"General","This defense is also know as compulsion by threat.","duress"
"General","Which group sang the song "Learn To Fly"?","Foo Fighters"
"General","Who played Kevin Hathaway on the soapie 'Days Of Our Lives'?","Pat Sajak"
"General","Who returned to Britain in 2001 after 35 years on the run?","Ronnie Biggs"
"General","What does NATO stand for ?","North Atlantic Treaty Organization"
"General","What is the covering on the tip of a shoelace called?","aglet"
"General","What chemical element gets is name from the greek word meaning 'stranger'?","Xenon"
"General","In which state is Stone Mountain?","Georgia"
"General","He killed Jesse James.","Robert Ford"
"General","Who plays the character of the only escapee from Alcatraz in the movie "The Rock"?","Sean Connery"
"General","Which U.S. president said, "The buck stops here"?","Harry Truman"
"General","At which age did the creator of 'Peanuts', Charles Schulz, die","77"
